loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582522973,36,0,126749.6664,0.007003784,0.00970459,-1.109085083,1
1582522974,37,0,126749.7245,-0.057357788,0.018356323,-1.035171509,1
1582522974,38,0,126749.7825,0.008010864,0.002593994,-1.017730713,1
1582522974,39,0,126749.8405,-0.020996094,0.051498413,-1.004211426,1
1582522974,40,0,126749.8985,-0.026596069,0.048797607,-0.991012573,1
1582522974,41,0,126749.9565,-0.02305603,0.043441772,-1.027038574,1
1582522974,42,0,126750.0145,-0.037841797,0.066101074,-1.064407349,1
1582522974,43,0,126750.0724,0.004013062,0.060943604,-1.098526001,1
1582522974,44,0,126750.1304,-0.041564941,0.068130493,-1.127059937,1
1582522974,45,0,126750.1884,-0.057418823,0.050811768,-1.164001465,1
1582522974,46,0,126750.2464,-0.04347229,-0.034927368,-1.310394287,1
1582522974,47,0,126750.3044,-0.046859741,0.027664185,-1.390670776,1
1582522974,48,0,126750.3624,-0.0703125,0.001800537,-1.320968628,1
1582522974,49,0,126750.4204,-0.060745239,0.004501343,-1.102645874,1
1582522974,50,0,126750.4784,0.131027222,0.119018555,-1.101989746,1
1582522974,51,0,126750.5364,0.09262085,-0.013961792,-0.784362793,1
1582522974,52,0,126750.5944,-0.065933228,-0.090835571,-0.693084717,1
1582522974,53,0,126750.6524,-0.01473999,-0.167312622,-0.581634521,1
1582522975,54,0,126750.7104,-0.023803711,-0.154403687,-0.670028687,1
1582522975,55,0,126750.7684,-0.056060791,-0.167205811,-0.630996704,1
1582522975,56,0,126750.8264,-0.124664307,-0.08241272,-0.733901978,1
1582522975,57,0,126750.8844,-0.162231445,-0.127166748,-0.714324951,1
1582522975,58,0,126750.9424,-0.204086304,-0.079666138,-0.571166992,1
1582522975,59,0,126751.0004,-0.249343872,-0.041610718,-0.627151489,1
1582522975,60,0,126751.0584,-0.131439209,-0.093597412,-0.721511841,1
1582522975,61,0,126751.1164,-0.20854187,-0.041015625,-0.955673218,1
1582522975,62,0,126751.1744,0.191711426,-0.306411743,-1.524856567,1
1582522975,63,0,126751.2324,-0.040039063,0.063583374,-1.923309326,1
1582522975,64,0,126751.2904,0.10383606,-0.184249878,-1.463775635,1
1582522975,65,0,126751.3484,-0.067169189,-0.07220459,-1.109313965,1
1582522975,66,0,126751.4064,-0.011428833,-0.167251587,-0.990234375,1
1582522975,67,0,126751.4644,-0.065292358,-0.051055908,-0.974319458,1
1582522975,68,0,126751.5224,-0.081359863,-0.020446777,-0.92880249,1
1582522975,69,0,126751.5804,-0.065719604,-0.006652832,-0.999435425,1
1582522975,70,0,126751.6384,-0.037399292,-0.031066895,-1.049407959,1
1582522976,71,0,126751.6964,-0.052017212,-0.041641235,-1.020019531,1
1582522976,72,0,126751.7544,-0.06288147,-0.043106079,-1.027832031,1
1582522976,73,0,126751.8124,-0.067947388,-0.044570923,-1.020050049,1
1582522976,74,0,126751.8704,-0.160064697,-0.030563354,-1.053207397,1
1582522976,75,0,126751.9284,-0.104522705,-0.048080444,-0.95993042,1
1582522976,76,0,126751.9864,-0.140258789,-0.028610229,-1.037353516,1
