loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1583454911.218709,1,0,765243.9274213751,-0.1492156982421875,-0.0154876708984375,-0.8981781005859375,0
1583454911.222325,2,0,765243.985437375,-0.2296142578125,-0.1559295654296875,-0.9320068359375,0
1583454911.263589,3,0,765244.043453375,-0.1937103271484375,-0.0426177978515625,-1.392608642578125,0
1583454911.325152,4,0,765244.1014683751,0.0374298095703125,-0.0731201171875,-1.741241455078125,0
1583454911.382574,5,0,765244.159482375,0.6992340087890625,-0.2622222900390625,-1.798965454101562,0
1583454911.442027,6,0,765244.2174953751,0.771820068359375,-0.3475799560546875,-1.1082763671875,0
1583454911.504546,7,0,765244.275493375,0.7086944580078125,-0.3371124267578125,-0.7199554443359375,0
1583454911.562421,8,0,765244.3335043751,0.3238983154296875,-0.2440643310546875,-0.4460906982421875,0
1583454911.622363,9,0,765244.391552375,0.04254150390625,-0.1697235107421875,-0.3372650146484375,0
1583454911.683555,10,0,765244.449551375,-0.140838623046875,-0.194061279296875,-0.2857666015625,0
1583454911.716852,11,0,765244.5078443751,-0.2749481201171875,-0.1770172119140625,-0.256622314453125,0
1583454911.776354,12,0,765244.565869375,-0.25152587890625,-0.0535430908203125,-0.33526611328125,0
1583454911.832977,13,0,765244.623920375,-0.0841217041015625,-0.0998687744140625,-0.3505096435546875,0
1583454911.891073,14,0,765244.681944375,-0.051910400390625,-0.0749664306640625,-0.6400909423828125,0
1583454911.949056,15,0,765244.7399663751,0.0074005126953125,0.0159759521484375,-1.010025024414062,0
1583454912.007052,16,0,765244.7979863751,-0.0598907470703125,-0.064971923828125,-1.587615966796875,0
1583454912.068065,17,0,765244.8560083751,0.1141357421875,-0.0304718017578125,-1.955978393554688,0
1583454912.123171,18,0,765244.9140273751,0.11334228515625,-0.02825927734375,-1.791473388671875,0
1583454912.180799,19,0,765244.972046375,0.1611785888671875,-0.0535736083984375,-1.311294555664062,0
1583454912.2406,20,0,765245.030067375,0.192962646484375,-0.034149169921875,-1.071517944335938,0
1583454912.297524,21,0,765245.0880042918,0.1172332763671875,0.0418548583984375,-0.964752197265625,0
1583454912.355484,22,0,765245.1460272917,0.0428924560546875,0.103179931640625,-0.9547882080078125,0
1583454912.412843,23,0,765245.2040372917,0.03228759765625,0.1341552734375,-1.068069458007812,0
1583454912.471232,24,0,765245.2620592917,0.022857666015625,0.0927276611328125,-1.008102416992188,0
1583454912.529345,25,0,765245.3201012918,0.0108184814453125,0.11883544921875,-0.9882965087890625,0
1583454912.594269,26,0,765245.3781332917,0.0647735595703125,0.082366943359375,-0.939544677734375,0
1583454912.646125,27,0,765245.4361422918,0.033966064453125,0.1267547607421875,-1.040481567382812,0
1583454912.704523,28,0,765245.4941792918,0.041778564453125,0.107513427734375,-1.026947021484375,0
1583454912.764842,29,0,765245.5521822918,-0.0188446044921875,0.1004180908203125,-0.962554931640625,0
1583454912.822219,30,0,765245.6102282917,-0.0437469482421875,0.153472900390625,-0.980987548828125,0
