loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582528846.08787,1,0,132622.34233025,0.0789031982421875,-0.410491943359375,-0.954620361328125,0
1582528846.1384,2,0,132622.40033825,0.0697021484375,-0.4395904541015625,-0.9514312744140625,0
1582528846.193881,3,0,132622.45834325,0.046051025390625,-0.378631591796875,-0.9494171142578125,0
1582528846.251695,4,0,132622.51633625,0.061492919921875,-0.4167327880859375,-0.891021728515625,0
1582528846.309256,5,0,132622.57430825,-0.0938568115234375,-0.3433837890625,-0.74090576171875,0
1582528846.367701,6,0,132622.63230925,-0.2791748046875,-0.1128997802734375,-0.6172332763671875,0
1582528846.430146,7,0,132622.69031925,0.119873046875,-0.1680450439453125,-0.75262451171875,0
1582528846.484667,8,0,132622.74831225,0.2702789306640625,-0.2044677734375,-0.60089111328125,0
1582528846.542692,9,0,132622.80629025,0.303314208984375,-0.1280364990234375,-0.7224273681640625,0
1582528846.602167,10,0,132622.86426825,0.2915191650390625,-0.0529632568359375,-1.007919311523438,0
1582528846.66485,11,0,132622.92226825,0.65655517578125,-0.299957275390625,-1.447845458984375,0
1582528846.727041,12,0,132622.98027525,0.425384521484375,-0.0137176513671875,-1.523361206054688,0
1582528846.784447,13,0,132623.03827125,0.39434814453125,-0.1467132568359375,-1.58721923828125,0
1582528846.844028,14,0,132623.09626825,-0.0021514892578125,0.106964111328125,-1.26019287109375,0
1582528846.905961,15,0,132623.15426825,-0.3717803955078125,0.04119873046875,-0.998565673828125,0
1582528846.964416,16,0,132623.21226425,-0.4251708984375,0.060394287109375,-0.9812774658203125,0
1582528847.027788,17,0,132623.27024925,-0.1898040771484375,-0.03564453125,-0.9359893798828125,0
1582528847.064634,18,0,132623.32824925,-0.081787109375,-0.0394744873046875,-0.97418212890625,0
1582528847.121553,19,0,132623.38626525,0.0622406005859375,-0.136444091796875,-0.9671173095703125,0
1582528847.200652,20,0,132623.44426225,0.082275390625,-0.0927886962890625,-0.9597930908203125,0
1582528847.237459,21,0,132623.50225725,0.1026153564453125,-0.142181396484375,-0.979827880859375,0
1582528847.289153,22,0,132623.56051025,0.1286468505859375,-0.1371307373046875,-1.027175903320312,0
1582528847.347619,23,0,132623.61849025,0.047210693359375,-0.1298980712890625,-0.9866485595703125,0
1582528847.404211,24,0,132623.67650325,0.019775390625,-0.07806396484375,-1.046646118164062,0
