loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582527860.755713,1,0,131636.9983102917,0.0940399169921875,-0.306060791015625,-0.9936676025390625,0
1582527860.814957,2,0,131637.0563292917,0.212005615234375,-0.296783447265625,-0.9473724365234375,0
1582527860.873676,3,0,131637.1143302917,0.248260498046875,-0.31256103515625,-0.818115234375,0
1582527860.916578,4,0,131637.1723542917,0.1971435546875,-0.364410400390625,-0.666259765625,0
1582527860.973135,5,0,131637.2304082917,0.0731658935546875,-0.2040557861328125,-0.702056884765625,0
1582527861.032532,6,0,131637.2884302917,0.0661163330078125,-0.208465576171875,-0.683990478515625,0
1582527861.088713,7,0,131637.3464272917,0.0445098876953125,-0.2337493896484375,-0.6796112060546875,0
1582527861.148173,8,0,131637.4044712917,-0.198486328125,-0.0144195556640625,-0.6084747314453125,0
1582527861.205109,9,0,131637.4624812917,-0.123565673828125,-0.1695098876953125,-1.0068359375,0
1582527861.263321,10,0,131637.5205142917,-0.20001220703125,0.0549468994140625,-1.2457275390625,0
1582527861.32412,11,0,131637.5785332917,-0.112152099609375,0.017608642578125,-1.6236572265625,0
1582527861.379285,12,0,131637.6365492917,0.31719970703125,-0.0540313720703125,-1.728195190429688,0
1582527861.437391,13,0,131637.6945632917,0.5362091064453125,-0.169525146484375,-1.322280883789062,0
1582527861.49493,14,0,131637.7525612917,0.3142242431640625,-0.116241455078125,-1.215072631835938,0
1582527861.554775,15,0,131637.8105692917,0.1430206298828125,-0.0221099853515625,-1.034881591796875,0
1582527861.61418,16,0,131637.8686092917,0.13690185546875,-0.0149993896484375,-1.039215087890625,0
1582527861.669889,17,0,131637.9266262917,0.0609893798828125,0.021697998046875,-1.00885009765625,0
1582527861.727243,18,0,131637.9846432917,0.136260986328125,-0.1214141845703125,-0.9619903564453125,0
1582527861.78533,19,0,131638.0426292917,0.0271148681640625,-0.0325775146484375,-1.102218627929688,0
1582527861.852771,20,0,131638.1005712917,-0.022003173828125,-0.074005126953125,-0.8941497802734375,0
1582527861.911176,21,0,131638.1586002917,-0.0352325439453125,-0.059356689453125,-1.00994873046875,0
