loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 23:24:55.755 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99276.84826454167,-0.0130462646484375,-0.4485321044921875,-0.935760498046875,2
2020-03-04 23:24:55.800 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99276.90795654168,0.0027618408203125,-0.41754150390625,-0.8725738525390625,2
2020-03-04 23:24:55.863 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99276.96764754168,0.001922607421875,-0.4352264404296875,-0.8515472412109375,2
2020-03-04 23:24:55.925 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.02733916667,0.00567626953125,-0.4306793212890625,-0.8136138916015625,2
2020-03-04 23:24:55.985 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.08703116667,-0.0013427734375,-0.3955230712890625,-0.8042449951171875,2
2020-03-04 23:24:56.045 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.14672316668,-0.0087432861328125,-0.3879852294921875,-0.8400421142578125,2
2020-03-04 23:24:56.106 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.20641416668,-0.0075531005859375,-0.3607025146484375,-0.902008056640625,2
2020-03-04 23:24:56.165 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.26610616667,-0.008544921875,-0.366912841796875,-1.003158569335938,2
2020-03-04 23:24:56.225 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.32579816667,-0.0186309814453125,-0.3588409423828125,-1.026641845703125,2
2020-03-04 23:24:56.285 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.38549016668,0.0396270751953125,-0.342010498046875,-1.124237060546875,2
2020-03-04 23:24:56.344 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.44518116667,0.077117919921875,-0.337188720703125,-0.9416656494140625,2
2020-03-04 23:24:56.406 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.50487316668,0.11358642578125,-0.338653564453125,-0.90948486328125,2
2020-03-04 23:24:56.465 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.56456516667,0.1036529541015625,-0.309356689453125,-0.9270172119140625,2
2020-03-04 23:24:56.524 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.62425716667,0.02667236328125,-0.297454833984375,-0.9325408935546875,2
2020-03-04 23:24:56.586 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.68394916668,-0.074249267578125,-0.305023193359375,-0.981719970703125,2
2020-03-04 23:24:56.645 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.74364016668,-0.099761962890625,-0.2942657470703125,-0.9800262451171875,2
2020-03-04 23:24:56.704 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.80333216667,-0.142669677734375,-0.2941436767578125,-0.972412109375,2
2020-03-04 23:24:56.765 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.86302416667,-0.1483154296875,-0.301177978515625,-0.905914306640625,2
2020-03-04 23:24:56.825 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.92271616668,-0.111358642578125,-0.278167724609375,-0.8806610107421875,2
2020-03-04 23:24:56.885 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99277.98240704168,-0.0662689208984375,-0.273956298828125,-0.877532958984375,2
2020-03-04 23:24:56.945 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.04209904168,0.0062103271484375,-0.2727203369140625,-0.950469970703125,2
2020-03-04 23:24:57.004 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.10179104167,0.05224609375,-0.2784271240234375,-1.04730224609375,2
2020-03-04 23:24:57.048 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.16148304167,0.0968780517578125,-0.28204345703125,-1.111419677734375,2
2020-03-04 23:24:57.108 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.22117404167,0.1107940673828125,-0.2393035888671875,-1.081527709960938,2
2020-03-04 23:24:57.168 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.28086604168,0.0648956298828125,-0.219085693359375,-1.020034790039062,2
2020-03-04 23:24:57.228 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.34055804167,0.0600433349609375,-0.227874755859375,-0.9477691650390625,2
2020-03-04 23:24:57.288 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99278.40025004167,-0.0196533203125,-0.2469940185546875,-1.008758544921875,2
